Taxon Id	Common name	Scientific name	Parent	Rank
8783		Palaeognathae	8782	superorder
8784	Emu and cassowaries	Casuariiformes	8783	order
8785	cassowaries	Casuariidae	8784	family
8786		Casuarius	8785	genus
8787	Southern cassowary	Casuarius casuarius	8786	species
8788	emus	Dromaiidae	8784	family
8789		Dromaius	8788	genus
8790	Emu	Dromaius novaehollandiae	8789	species
8792	rheas	Rheiformes	8783	order
8793		Rheidae	8792	family
8794		Pterocnemia	8793	genus
8795	Lesser rhea	Rhea pennata	8796	species
8796		Rhea	8793	genus
8797	Greater rhea	Rhea americana	8796	species
8798	ostriches	Struthioniformes	8783	order
8799		Struthionidae	8798	family
8800		Struthio	8799	genus
8801	Common ostrich	Struthio camelus	8800	species
8802	tinamous	Tinamiformes	8783	order
8803		Tinamidae	8802	family
8804		Eudromia	8803	genus
8805	Elegant crested-tinamou	Eudromia elegans	8804	species
8806		Nothoprocta	8803	genus
8807	Brushland tinamou	Nothoprocta cinerascens	8806	species
8808	moas	Dinornithiformes	8783	order
8809		Emeidae	8808	family
8810		Anomalopteryx	8809	genus
8811	Little bush moa	Anomalopteryx didiformis	8810	species
8812		Megalapteryx	8809	genus
8813	upland moa	Megalapteryx didinus	8812	species
8814		Pachyornis	8809	genus
8815	heavy-footed moa	Pachyornis elephantopus	8814	species
8816		Dinornithidae	8808	family
8817		Dinornis	8816	genus
8818	North Island giant moa	Dinornis novaezealandiae	8817	species
8819	kiwis	Apterygiformes	8783	order
8820		Apterygidae	8819	family
8821		Apteryx	8820	genus
8822	Southern brown kiwi	Apteryx australis	8821	species
8823	Great spotted kiwi	Apteryx haastii	8821	species
8824	Little spotted kiwi	Apteryx owenii	8821	species
8825		Neognathae	8782	infraclass
8826	ducks, geese and swans	Anseriformes	1549675	order
8827	screamers	Anhimidae	8826	family
8828		Chauna	8827	genus
8829	Northern screamer	Chauna chavaria	8828	species
8830	waterfowl	Anatidae	8826	family
8831		Aix	2068716	genus
8832	Mandarin duck	Aix galericulata	8831	species
8833	Wood duck	Aix sponsa	8831	species
8834		Aix sp.	2646690	species
8835	ducks	Anas	2068716	genus
8837	Cape teal	Anas capensis	8835	species
8838	Eurasian wigeon	Mareca penelope	1526411	species
8839	Mallard	Anas platyrhynchos	8835	species
8840	Northern mallard	Anas platyrhynchos platyrhynchos	8839	subspecies
8841	domestic duck x muscovy duck	Anas platyrhynchos x Cairina moschata	8835	species
8842	geese	Anser	2068722	genus
8843	Domestic goose	Anser anser	8842	species
8844	Western greylag goose	Anser anser anser	8843	subspecies
8845	Swan goose	Anser cygnoides	8842	species
8846	Bar-headed goose	Anser indicus	8842	species
8847	goose	Anser sp.	2639525	species
8848		Anser anser domesticus	8843	subspecies
8849	Snow goose	Anser caerulescens	8842	species
8850		Anseranas	45650	genus
8851	Magpie goose	Anseranas semipalmata	8850	species
8852		Branta	2068722	genus
8853	Canada goose	Branta canadensis	8852	species
8854		Cairina	2068716	genus
8855	Muscovy duck	Cairina moschata	8854	species
8856		Cairina sp.	2677066	species
8857		Cereopsis	2068722	genus
8858	Cape Barren goose	Cereopsis novaehollandiae	8857	species
8859		Chloephaga	2068719	genus
8860	Andean goose	Chloephaga melanoptera	8859	species
8861	Upland goose	Chloephaga picta	8859	species
8862		Coscoroba	2068722	genus
8863	Coscoroba swan	Coscoroba coscoroba	8862	species
8864		Cyanochen	2068719	genus
8865	Blue-winged goose	Cyanochen cyanoptera	8864	species
8867	swans	Cygnus	2068722	genus
8868	Black swan	Cygnus atratus	8867	species
8869	Mute swan	Cygnus olor	8867	species
8870		Dendrocygna	2068717	genus
8871	West Indian whistling-duck	Dendrocygna arborea	8870	species
8872	Wandering whistling-duck	Dendrocygna arcuata	8870	species
8873	Black-bellied whistling-duck	Dendrocygna autumnalis	8870	species
8874	Fulvous whistling-duck	Dendrocygna bicolor	8870	species
8875	Plumed whistling-duck	Dendrocygna eytoni	8870	species
8876	White-faced whistling-duck	Dendrocygna viduata	8870	species
8877		Mergus	2068716	genus
8879	Red-breasted merganser	Mergus serrator	8877	species
8880	Goosander	Mergus merganser	8877	species
8881		Neochen	2068719	genus
8882	Orinoco goose	Neochen jubata	8881	species
8883		Oxyura	2068716	genus
8884	Ruddy duck	Oxyura jamaicensis	8883	species
8885	Lake duck	Oxyura vittata	8883	species
8886		Sarkidiornis	2068719	genus
8887	African comb duck	Sarkidiornis melanotos	8886	species
8888		Tadorna	2068719	genus
8889	Radjah shelduck	Tadorna radjah	8888	species
8892	swifts and hummingbirds	Apodiformes	2607030	order
8893	swifts	Apodidae	8892	family
8894		Apus	2607033	genus
8895	Common swift	Apus apus	8894	species
8896		Chaetura	2607033	genus
8897	Chimney swift	Chaetura pelagica	8896	species
8899	herons	Ardeidae	9205	family
8900	night herons	Nycticorax	8899	genus
8901	Black-crowned night-heron	Nycticorax nycticorax	8900	species
8902	nightjars and others	Caprimulgiformes	2607030	order
8903	frogmouths	Podargidae	8902	family
8904		Podargus	8903	genus
8905	Tawny frogmouth	Podargus strigoides	8904	species
8906	shorebirds and others	Charadriiformes	8825	order
8907		Charadriidae	8906	family
8908		Hoplopterus	8907	genus
8909	Spur-winged lapwing	Vanellus spinosus	50403	species
8910	gulls	Laridae	8906	family
8911		Larus	8910	genus
8912	Great black-backed gull	Larus marinus	8911	species
8915	Lesser black-backed gull	Larus fuscus	8911	species
8917	snipes	Scolopacidae	8906	family
8918		Calidris	8917	genus
8919	Dunlin	Calidris alpina	8918	species
8920	storks and others	Ciconiiformes	8825	order
8922		Cathartidae	2558200	family
8923		Vultur	8922	genus
8924	Andean condor	Vultur gryphus	8923	species
8926	storks	Ciconiidae	8920	family
8927		Ciconia	8926	genus
8928	White stork	Ciconia ciconia	8927	species
8929	pigeons and others	Columbiformes	8825	order
8930	pigeons	Columbidae	8929	family
8931		Columba	8930	genus
8932	Rock dove	Columba livia	8931	species
8933		Columba sp.	2643597	species
8934	Common wood pigeon	Columba palumbus	8931	species
8936	kingfishers and others	Coraciiformes	8825	order
8937	kingfishers	Alcedinidae	8936	family
8938		Dacelo	8937	genus
8939	Laughing kookaburra	Dacelo novaeguineae	8938	species
8940	cuckoos and others	Cuculiformes	8825	order
8941	cuckoos	Cuculidae	8940	family
8942		Carpococcyx	8941	genus
8943	Coral-billed ground-cuckoo	Carpococcyx renauldi	8942	species
8944		Eudynamys	8941	genus
8945	Western koel	Eudynamys scolopaceus	8944	species
8946		Geococcyx	78204	genus
8947	Greater roadrunner	Geococcyx californianus	8946	species
8948	falcons and others	Falconiformes	8825	order
8949		Falconidae	8948	family
8951	Southern caracara	Caracara plancus	1094195	species
8952	falcons	Falco	8949	genus
8953	Merlin	Falco columbarius	8952	species
8954	Peregrine falcon	Falco peregrinus	8952	species
8955		Accipitrinae	56259	subfamily
8956		Accipiter	8955	genus
8957	Northern goshawk	Accipiter gentilis	8956	species
8958		Aegypius	8955	genus
8959	Cinereous vulture	Aegypius monachus	8958	species
8960		Aquila	8955	genus
8961	Wedge-tailed eagle	Aquila audax	8960	species
8962	Golden eagle	Aquila chrysaetos	8960	species
8963	harriers	Circus	8955	genus
8964	Western marsh harrier	Circus aeruginosus	8963	species
8965		Gyps	8955	genus
8966	Cape vulture	Gyps coprotheres	8965	species
8967	Rueppell's griffon	Gyps rueppelli	8965	species
8968		Haliaeetus	8955	genus
8969	White-tailed sea-eagle	Haliaeetus albicilla	8968	species
8970		Haliastur	8955	genus
8971	Brahminy kite	Haliastur indus	8970	species
8972		Polyboroides	8955	genus
8973	Madagascar harrier-hawk	Polyboroides radiatus	8972	species
8974		Trigonoceps	8955	genus
8975	White-headed vulture	Trigonoceps occipitalis	8974	species
8976	landfowls	Galliformes	1549675	order
8977		Megapodiidae	8976	family
8978		Megapodius	8977	genus
8979	Dusky scrubfowl	Megapodius freycinet	8978	species
8980		Leipoa	8977	genus
8981	Malleefowl	Leipoa ocellata	8980	species
8982		Cracidae	8976	family
8983		Ortalis	8982	genus
8984	Plain chachalaca	Ortalis vetula	8983	species
8985		Penelope	8982	genus
8986	Spix's guan	Penelope jacquacu	8985	species
8987	Rusty-margined guan	Penelope superciliaris	8985	species
8988		Aburria	8982	genus
8990	guineafowls	Numididae	8976	family
8991		Acryllium	8990	genus
8992	Vulturine guineafowl	Acryllium vulturinum	8991	species
8993		Guttera	8990	genus
8994	Eastern crested guineafowl	Guttera pucherani	8993	species
8995		Numida	8990	genus
8996	Helmeted guineafowl	Numida meleagris	8995	species
8997	guineafowl	Numididae sp.	2732810	species
8999		Bonasa	466585	genus
9000	Ruffed grouse	Bonasa umbellus	8999	species
9001		Centrocercus	466585	genus
9002	Sage grouse	Centrocercus urophasianus	9001	species
9003		Tympanuchus	466585	genus
9004	Greater prairie chicken	Tympanuchus cupido	9003	species
9005	turkeys	Phasianidae	8976	family
9006	Quail	Phasianidae sp.	2922367	species
9008		Callipepla	224313	genus
9009	Scaled quail	Callipepla squamata	9008	species
9010	Chestnut bellied scaled quail	Callipepla squamata castanogastris	9009	subspecies
9011	Blue scaled quail	Callipepla squamata pallida	9009	subspecies
9013		Colinus	224313	genus
9014	Northern bobwhite	Colinus virginianus	9013	species
9016		Cyrtonyx	224313	genus
9017	Montezuma quail	Cyrtonyx montezumae	9016	species
9018		Francolinus	466544	genus
9019	Grey francolin	Francolinus pondicerianus	9018	species
9020	Red-necked francolin	Pternistis afer	1756210	species
9021	Coqui francolin	Peliperdix coqui	388983	species
9022	Erckel's francolin	Pternistis erckelii	1756210	species
9023	Black francolin	Francolinus francolinus	9018	species
9027		Oreortyx	224313	genus
9029	Mountain quail	Oreortyx pictus	9027	species
9030		Gallus	9072	genus
9031	Chicken	Gallus gallus	9030	species
9032	Sri Lanka junglefowl	Gallus lafayettii	9030	species
9033	Grey junglefowl	Gallus sonneratii	9030	species
9034	Green junglefowl	Gallus varius	9030	species
9036		Gallus sp.	2633162	species
9039		Lophophorus	9072	genus
9040	Himalayan monal pheasant	Lophophorus impejanus	9039	species
9041		Lophura	9072	genus
9042	Bulwer's pheasant	Lophura bulweri	9041	species
9043	Edwards's pheasant	Lophura edwardsi	9041	species
9044	Bornean crested fireback pheasant	Lophura ignita	9041	species
9046	Silver pheasant	Lophura nycthemera	9041	species
9048	peafowls	Pavo	9072	genus
9049	Indian peafowl	Pavo cristatus	9048	species
9050	Green peafowl	Pavo muticus	9048	species
9051		Perdix	466544	genus
9052	Gray partridge	Perdix perdix	9051	species
9053		Phasianus	9072	genus
9054	Common pheasant	Phasianus colchicus	9053	species
9055	Green pheasant	Phasianus versicolor	9053	species
9056		Phasianus sp.	2631862	species
9057	Black-necked pheasant	Phasianus colchicus colchicus	9054	subspecies
9058		Polyplectron	9072	genus
9059	Grey peacock-pheasant	Polyplectron bicalcaratum	9058	species
9060		Pucrasia	9072	genus
9061	Koklass pheasant	Pucrasia macrolopha	9060	species
9062		Syrmaticus	9072	genus
9063	Elliot's pheasant	Syrmaticus ellioti	9062	species
9064	Mrs Hume's pheasant	Syrmaticus humiae	9062	species
9065	Mikado pheasant	Syrmaticus mikado	9062	species
9066	Reeves's pheasant	Syrmaticus reevesii	9062	species
9067	Copper pheasant	Syrmaticus soemmerringii	9062	species
9069		Tragopan	9072	genus
9070	Satyr tragopan	Tragopan satyra	9069	species
9071	Temminck's tragopan	Tragopan temminckii	9069	species
9072		Phasianinae	9005	subfamily
9075		Afropavo	9072	genus
9076	Congo peafowl	Afropavo congensis	9075	species
9077		Alectoris	466544	genus
9078	Chukar partridge	Alectoris chukar	9077	species
9079	Red-legged partridge	Alectoris rufa	9077	species
9080		Argusianus	9072	genus
9081	Great argus	Argusianus argus	9080	species
9082		Bambusicola	466544	genus
9083	Chinese bamboo-partridge	Bambusicola thoracicus	9082	species
9084		Catreus	9072	genus
9085	Cheer pheasant	Catreus wallichii	9084	species
9087		Chrysolophus	9072	genus
9088	Lady Amherst's pheasant	Chrysolophus amherstiae	9087	species
9089	Golden pheasant	Chrysolophus pictus	9087	species
9090		Coturnix	466544	genus
9091	Common quail	Coturnix coturnix	9090	species
9093	Harlequin quail	Coturnix delegorguei	9090	species
9095		Crossoptilon	9072	genus
9096	Blue-eared pheasant	Crossoptilon auritum	9095	species
9097	Brown-eared pheasant	Crossoptilon mantchuricum	9095	species
9100		Agriocharis	9005	genus
9101	Ocellated turkey	Meleagris ocellata	9102	species
9102		Meleagris	466552	genus
9103	Wild turkey	Meleagris gallopavo	9102	species
9104		Arborophila	466544	genus
9105	Hill partridge	Arborophila torqueola	9104	species
9108	terrestrial and marshbirds	Gruiformes	8825	order
9109	cranes	Gruidae	9108	family
9111	Demoiselle crane	Anthropoides virgo	9114	species
9114		Grus	9109	genus
9117	Whooping crane	Grus americana	9114	species
9118	Wattled crane	Bugeranus carunculatus	9114	species
9119	rails	Rallidae	9108	family
9120	coots	Fulica	9119	genus
9121	Common coot	Fulica atra	9120	species
9122		Gallinula	9119	genus
9123	Common moorhen	Gallinula chloropus	9122	species
9124		Gallirallus	9119	genus
9125	Weka	Gallirallus australis	9124	species
9126	song birds	Passeriformes	8825	order
9127		Cotingidae	9126	family
9128		Ampelion	9127	genus
9131		Gymnorhina	2169681	genus
9132	Australian magpie	Gymnorhina tibicen	9131	species
9133		Fringillidae	175121	family
9134		Serinus	37599	genus
9135	Island canary	Serinus canaria	9134	species
9136		Furnariidae	9126	family
9137		Asthenes	9136	genus
9138	Creamy-breasted canastero	Asthenes dorbignyi	9137	species
9140		Thripophaga	9136	genus
9143	Australian choughs	Corcoracidae	192204	family
9144		Corcorax	9143	genus
9145	White-winged chough	Corcorax melanoramphos	9144	species
9146	honeyeaters	Meliphagidae	1931080	family
9147		Ptiloprora	9146	genus
9148	Leaden honeyeater	Ptiloprora plumbea	9147	species
9149	paradise birds	Paradisaeidae	192204	family
9150		Epimachus	9149	genus
9151	Black-billed sicklebill	Drepanornis albertisi	681189	species
9153	titmice	Paridae	9126	family
9154		Parus	9153	genus
9157	Great tit	Parus major	9154	species
