Taxon Id	Common name	Scientific name	Parent	Rank
9254		Prototheria	40674	no rank
9255	egg-laying mammals	Monotremata	9254	order
9256		Ornithorhynchidae	9255	family
9257		Ornithorhynchus	9256	genus
9258	Duckbill platypus	Ornithorhynchus anatinus	9257	species
9259	echidnas	Tachyglossidae	9255	family
9260	short-nosed echidnas	Tachyglossus	9259	genus
9261	Short-beaked echidna	Tachyglossus aculeatus	9260	species
9263	marsupials	Metatheria	32525	no rank
9265	opossums	Didelphidae	38605	family
9266		Didelphis	126287	genus
9267	North American opossum	Didelphis virginiana	9266	species
9268	Southern opossum	Didelphis marsupialis	9266	species
9269		Marmosa	126287	genus
9271		Philander	126287	genus
9272	Gray four-eyed opossum	Philander opossum	9271	species
9273		Thylacinidae	38608	family
9274		Thylacinus	9273	genus
9275	Tasmanian wolf	Thylacinus cynocephalus	9274	species
9277		Dasyuridae	38608	family
9278	quolls	Dasyurus	9277	genus
9279	Eastern quoll	Dasyurus viverrinus	9278	species
9280	Northern quoll	Dasyurus hallucatus	9278	species
9281	Tiger quoll	Dasyurus maculatus	9278	species
9282	broad-footed marsupial mice	Antechinus	9277	genus
9283	Brown marsupial mouse	Antechinus stuartii	9282	species
9284	Dusky antechinus	Antechinus swainsonii	9282	species
9286		Dasykaluta	9277	genus
9288	short-haired marsupial mice	Murexia	9277	genus
9290		Parantechinus	9277	genus
9291	Dibbler	Parantechinus apicalis	9290	species
9292	tuans	Phascogale	9277	genus
9293	Common wambenger	Phascogale tapoatafa	9292	species
9294		Phascolosorex	9277	genus
9295	Narrow-striped dasyure	Phascolosorex dorsalis	9294	species
9296		Planigale	9277	genus
9297	Pygmy planigale	Planigale maculata	9296	species
9298		Pseudantechinus	9277	genus
9299	Fat-tailed marsupial mouse	Pseudantechinus macdonnellensis	9298	species
9300		Sminthopsis	9277	genus
9301	Fat-tailed dunnart	Sminthopsis crassicaudata	9300	species
9302	Stripe-faced dunnart	Sminthopsis macroura	9300	species
9304		Sarcophilus	9277	genus
9305	Tasmanian devil	Sarcophilus harrisii	9304	species
9307		Macropodidae	38609	family
9309		Potorous	65619	genus
9310	Potoroo	Potorous tridactylus	9309	species
9312		Macropus	9307	genus
9313	Agile wallaby	Notamacropus agilis	1960649	species
9314	Antelopine kangaroo	Osphranter antilopinus	2182372	species
9315	Tammar wallaby	Notamacropus eugenii	1960649	species
9316	Western gray kangaroo	Macropus fuliginosus	9312	species
9317	Eastern gray kangaroo	Macropus giganteus	9312	species
9318	Whiptail wallaby	Notamacropus parryi	1960649	species
9319	Wallaroo	Osphranter robustus	2182372	species
9321	Red kangaroo	Osphranter rufus	2182372	species
9322	kangaroo	Macropus sp.	2649300	species
9323	black wallaroo	Osphranter bernardus	2182372	species
9324	rock wallabies	Petrogale	9307	genus
9325	Yellow-footed rock wallaby	Petrogale xanthopus	9324	species
9326		Thylogale	9307	genus
9327	Tasmanian pademelon	Thylogale billardierii	9326	species
9328	Red-legged pademelon	Thylogale stigmatica	9326	species
9329		Wallabia	9307	genus
9330	Swamp wallaby	Wallabia bicolor	9329	species
9331	gliding and striped possums	Petauridae	38609	family
9332		Pseudocheirus	37889	genus
9333	Common ring-tailed possum	Pseudocheirus peregrinus	9332	species
9335	possums and cuscuses	Phalangeridae	38609	family
9336	brush-tailed possums	Trichosurus	9335	genus
